gene,logFC,logCPM,F,PValue,FDR,Significant,direction
OXLD1,-0.21527266575647797,4.471108549520481,8.118228163989944,0.007366770732344486,0.012099897703504028,TRUE,Not significant
TTC41P,0.7230832545313178,0.3143859789167685,8.116233712667423,0.007374328224736035,0.012111038158308733,TRUE,Not significant
PTGER4,0.7654079546521856,0.11441363327605344,8.110009051100079,0.007395239355963427,0.012144104973072953,TRUE,Not significant
ZNF697,0.2510862731475878,3.264571808124288,8.10228111668268,0.00741917175790341,0.012182125703963683,TRUE,Not significant
POLR2J,-0.16753227179746275,5.283158161134252,8.101791585570888,0.007420768749319891,0.0121834680201544,TRUE,Not significant
SHISA3,0.8829782524146794,-0.3430561681672893,8.10258042515153,0.007422227427733188,0.01218458299500785,TRUE,Not significant
AGK,-0.18076319354610076,4.734318617479585,8.097815492254709,0.007433896236416601,0.012202457275277408,TRUE,Not significant
SEC24C,-0.1121105435471181,6.636522119482931,8.093816379335749,0.007447122592553253,0.012222884187924743,TRUE,Not significant
COMT,-0.16616847341824661,5.314849044516887,8.092299249279499,0.0074521479993356135,0.0122298480921478,TRUE,Not significant
CCDC30,0.6142218995031931,1.0334416409109948,8.087282872161746,0.007469067736182566,0.012256328474176747,TRUE,Not significant
NUP155,-0.11256115095458198,7.262326306609016,8.08603176122742,0.007472944257542719,0.012261402345726717,TRUE,Not significant
ZC2HC1A,0.3001637164638509,3.041865207651189,8.083001172656306,0.007483041847522364,0.012276681439779003,TRUE,Not significant
LOC124906071,0.7930643562668611,0.3157719538199866,8.082386494687857,0.007486017091857656,0.012280273629905034,TRUE,Not significant
KDM6B,0.15560330851017146,5.820322601389038,8.077150180869436,0.007502522532598021,0.012304980182425818,TRUE,Not significant
CA11,0.17589562767815684,4.606480883654015,8.077111649137608,0.007502652664012671,0.012304980182425818,TRUE,Not significant
SNRK,-0.15535764569728036,5.077908346735407,8.075398171464597,0.007508372678740657,0.012313069454277249,TRUE,Not significant
LOC124905226,0.5800954704952765,1.0681984056748497,8.074386592222197,0.007511978250433397,0.012317689892391313,TRUE,Not significant
ZZZ3,-0.10507765035882882,6.6256774198205095,8.072389458411847,0.007518428560840656,0.012326973503193062,TRUE,Not significant
